name,content,img_url,category
Robert Baratheon,Robert Baratheon,https://imgur.com/kDkCvMZ.jpg,Game of Thrones
Jaime Lannister,Jaime Lannister,https://imgur.com/6R2krqW.jpg,Game of Thrones
"Eddard ""Ned"" Stark","Eddard ""Ned"" Stark",https://imgur.com/BESXwzH.jpg,Game of Thrones
Catelyn Stark,Catelyn Stark,https://imgur.com/SEOurnF.jpg,Game of Thrones
Cersei Lannister,Cersei Lannister,https://imgur.com/GDE9HMV.jpg,Game of Thrones
Daenerys Targaryen,Daenerys Targaryen,https://imgur.com/R5kbyKW.jpg,Game of Thrones
Jorah Mormont,Jorah Mormont,https://imgur.com/W9Yp163.jpg,Game of Thrones
"Petyr ""Littlefinger"" Baelish","Petyr ""Littlefinger"" Baelish",https://imgur.com/rb9DoG3.jpg,Game of Thrones
Viserys Targaryen,Viserys Targaryen,https://imgur.com/MDyaTgJ.jpg,Game of Thrones
Jon Snow,Jon Snow,https://imgur.com/ucM2eg4.jpg,Game of Thrones
Sansa Stark,Sansa Stark,https://imgur.com/87FJttr.jpg,Game of Thrones
Arya Stark,Arya Stark,https://imgur.com/AZ90Ktb.jpg,Game of Thrones
Robb Stark,Robb Stark,https://imgur.com/tx1oio9.jpg,Game of Thrones
Theon Greyjoy,Theon Greyjoy,https://imgur.com/sAAgNrp.jpg,Game of Thrones
Bran Stark,Bran Stark,https://imgur.com/vbKoFGN.jpg,Game of Thrones
Joffrey Baratheon,Joffrey Baratheon,https://imgur.com/rEdTtvV.jpg,Game of Thrones
"Sandor ""The Hound"" Clegane","Sandor ""The Hound"" Clegane",https://imgur.com/HGHx80z.jpg,Game of Thrones
Khal Drogo,Khal Drogo,https://imgur.com/wbd9cXZ.jpg,Game of Thrones
Brienne of Tarth,Brienne of Tarth,https://imgur.com/FEJncrE.jpg,Game of Thrones
Tyrion Lannister,Tyrion Lannister,https://imgur.com/xrapKbt.jpg,Game of Thrones
Tywin Lannister,Tywin Lannister,https://imgur.com/z9azWRv.jpg,Game of Thrones
"Jaqen H'ghar, a Faceless Man","Jaqen H'ghar, a Faceless Man",https://imgur.com/DyYhrqI.jpg,Game of Thrones
