name,content,img_url,category
always be 10 minutes late,always be 10 minutes late,,Would You Rather
always be 20 minutes early,always be 20 minutes early,,Would You Rather
be able to see 10 minutes into your own future,be able to see 10 minutes into your own future,,Would You Rather
be able to see 10 minutes into the future of anyone but yourself,be able to see 10 minutes into the future of anyone but yourself,,Would You Rather
be famous when you are alive and forgotten when you die,be famous when you are alive and forgotten when you die,,
unknown when you are alive but famous after you die,unknown when you are alive but famous after you die,,
go to jail for 4 years for something you didn’t do,go to jail for 4 years for something you didn’t do,,
get away with something horrible you did but always live in fear of being caught,get away with something horrible you did but always live in fear of being caught,,
accidentally be responsible for the death of a child,accidentally be responsible for the death of a child,,
accidentally be responsible for the deaths of three adults,accidentally be responsible for the deaths of three adults,,
your shirts always being two sizes too big,your shirts always being two sizes too big,,
your shirts always being one size too small,your shirts always being one size too small,,
be 4 feet tall,be 4 feet tall,,
be 10 feet tall,be 10 feet tall,,
never use social media sites or apps again,never use social media sites or apps again,,
never watch another movie or TV show,never watch another movie or TV show,,
