name,content,img_url,category
Adam Driver,Adam Driver,https://imgur.com/g9dhCbK.jpg,Celebrities
Adele,Adele,https://imgur.com/YGAbIBA.jpg,Celebrities
Beyoncé,Beyoncé,https://imgur.com/AB62tNm.jpg,Celebrities
Chance the Rapper,Chance the Rapper,https://imgur.com/s2rIfgT.jpg,Celebrities
Chris Pratt,Chris Pratt,https://imgur.com/dtKDzON.jpg,Celebrities
Donald Glover,Donald Glover,https://imgur.com/LZQfOrv.jpg,Celebrities
Drake,Drake,https://imgur.com/RR5M7V8.jpg,Celebrities
Dwayne “The Rock” Johnson,Dwayne “The Rock” Johnson,https://imgur.com/57Rr8SN.jpg,Celebrities
Ellen DeGeneres,Ellen DeGeneres,https://imgur.com/LTh9JW2.jpg,Celebrities
Jennifer Lawrence,Jennifer Lawrence,https://imgur.com/Q1pGwwQ.jpg,Celebrities
Justin Bieber,Justin Bieber,https://imgur.com/5RFOmdL.jpg,Celebrities
Kanye West,Kanye West,https://imgur.com/xC2rcYE.jpg,Celebrities
Kate McKinnon,Kate McKinnon,https://imgur.com/Ma3AKQ7.jpg,Celebrities
Lin-Manuel Miranda,Lin-Manuel Miranda,https://imgur.com/xeV0cpN.jpg,Celebrities
Margot Robbie,Margot Robbie,https://imgur.com/De2J0LH.jpg,Celebrities
Millie Bobby Brown,Millie Bobby Brown,https://imgur.com/1MgdTed.jpg,Celebrities
Ryan Reynolds,Ryan Reynolds,https://imgur.com/Zw4IFrV.jpg,Celebrities
Taylor Swift,Taylor Swift,https://imgur.com/QhZKnlJ.jpg,Celebrities
