name,content,img_url,category
Garfield,Garfield,https://imgur.com/TVGun10.jpg,Famous Cats
Puss in Boots,Puss in Boots,https://imgur.com/TejyxxR.jpg,Famous Cats
The Cat in the Hat,The Cat in the Hat,https://imgur.com/SOXhkBB.jpg,Famous Cats
Pink Panther,Pink Panther,https://imgur.com/3aBPKpj.jpg,Famous Cats
Grumpy Cat,Grumpy Cat,https://imgur.com/O4PO79G.jpg,Famous Cats
Simba,Simba,https://imgur.com/150vdMo.jpg,Famous Cats
Sylvester,Sylvester,https://imgur.com/8obTp9H.jpg,Famous Cats
Felix,Felix,https://imgur.com/P6EzsP8.jpg,Famous Cats
Lucifer,Lucifer,https://imgur.com/cQQQlnn.jpg,Famous Cats
Hello Kitty,Hello Kitty,https://imgur.com/ImIN8rX.jpg,Famous Cats
Chershire Cat,Chershire Cat,https://imgur.com/QdFw3cT.jpg,Famous Cats
